tool	matching_mode	category	count
PhageMine	exact	EXACT_PRODUCT_AGREEMENT	62
PhageMine	exact	EQUIVALENT_FUNCTION	4
PhageMine	exact	COMPATIBLE_BUT_BROADER	0
PhageMine	exact	COMPATIBLE_BUT_MORE_SPECIFIC	0
PhageMine	exact	ABSTENTION	32
PhageMine	exact	UNSUPPORTED_SPECIFICITY	0
PhageMine	exact	GENUINE_FUNCTIONAL_DISAGREEMENT	0
PhageMine	exact	NON_EVALUABLE_REFERENCE	198
PhageMine	exact	UNRESOLVED_REVIEW_REQUIRED	292
Pharokka	exact	EXACT_PRODUCT_AGREEMENT	303
Pharokka	exact	EQUIVALENT_FUNCTION	0
Pharokka	exact	COMPATIBLE_BUT_BROADER	0
Pharokka	exact	COMPATIBLE_BUT_MORE_SPECIFIC	0
Pharokka	exact	ABSTENTION	49
Pharokka	exact	UNSUPPORTED_SPECIFICITY	0
Pharokka	exact	GENUINE_FUNCTIONAL_DISAGREEMENT	0
Pharokka	exact	NON_EVALUABLE_REFERENCE	198
Pharokka	exact	UNRESOLVED_REVIEW_REQUIRED	38
PhageMine	relaxed	EXACT_PRODUCT_AGREEMENT	70
PhageMine	relaxed	EQUIVALENT_FUNCTION	4
PhageMine	relaxed	COMPATIBLE_BUT_BROADER	0
PhageMine	relaxed	COMPATIBLE_BUT_MORE_SPECIFIC	0
PhageMine	relaxed	ABSTENTION	43
PhageMine	relaxed	UNSUPPORTED_SPECIFICITY	0
PhageMine	relaxed	GENUINE_FUNCTIONAL_DISAGREEMENT	0
PhageMine	relaxed	NON_EVALUABLE_REFERENCE	217
PhageMine	relaxed	UNRESOLVED_REVIEW_REQUIRED	318
Pharokka	relaxed	EXACT_PRODUCT_AGREEMENT	334
Pharokka	relaxed	EQUIVALENT_FUNCTION	0
Pharokka	relaxed	COMPATIBLE_BUT_BROADER	0
Pharokka	relaxed	COMPATIBLE_BUT_MORE_SPECIFIC	0
Pharokka	relaxed	ABSTENTION	60
Pharokka	relaxed	UNSUPPORTED_SPECIFICITY	0
Pharokka	relaxed	GENUINE_FUNCTIONAL_DISAGREEMENT	0
Pharokka	relaxed	NON_EVALUABLE_REFERENCE	217
Pharokka	relaxed	UNRESOLVED_REVIEW_REQUIRED	41
