accession	status	source
OQ357866.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
OQ357868.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
OQ357869.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
OQ357870.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PQ211117.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX093955.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX093956.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX093957.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX093958.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX311095.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX311096.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX311097.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX392307.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX402466.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX402467.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX402468.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX404940.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX427708.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX985120.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
PX985121.1	CANDIDATE_NOT_VALIDATED_AS_HELD_OUT	/Users/emmanuelnnadi/Documents/PhageMine_v1.2_development/evaluation/v1.2_finalization/temporal_primary_comparison.tsv
