accession	start	end	strand	matching_mode	reference_id	reference_start	reference_end	reference_product	PhageMine_product	PhageMine_category	PhageMine_review_notes	Pharokka_product	Pharokka_category	Pharokka_review_notes
NC_000866.4	12	2189	-	exact	NP_049616.1	12	2189	RIIA lysis inhibitor	protein riia	UNRESOLVED_REVIEW_REQUIRED		RIIA lysis inhibitor	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	2200	2403	-	exact	NP_049617.1	2200	2403	rIIA.1 hypothetical protein	uncharacterized 8.1 kda protein in riia-gp60 intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	2971	3351	-	exact	NP_049619.1	2971	3351	gp60.1 hypothetical protein	uncharacterized 14.7 kda protein in gp60-moba intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	3654	3767	-	exact	NP_049620.1	3654	3767	homing endonuclease	homing endonuclease	EXACT_PRODUCT_AGREEMENT		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	3778	5328	-	exact	NP_049621.1	3778	5328	DNA topoisomerase II large subunit	dna topoisomerase large subunit	UNRESOLVED_REVIEW_REQUIRED		DNA topoisomerase II large subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	5398	5595	-	exact	NP_049622.1	5398	5595	gp39.1 hypothetical protein	uncharacterized 7.2 kda protein in gp39-comca intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	5702	5839	-	exact	NP_049623.1	5702	5839	FmdB-like transcriptional regulator	uncharacterized 5.1 kda protein in gp39-comca intergenic region	ABSTENTION		FmdB-like transcriptional regulator	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	5842	6267	-	exact	NP_049624.1	5842	6267	hypothetical protein	protein comc-alpha	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	6267	6482	-	exact	NP_049625.1	6267	6482	cef modifier of supressor tRNAs	protein cef	UNRESOLVED_REVIEW_REQUIRED		cef modifier of supressor tRNAs	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	6653	7141	-	exact	NP_049626.1	6653	7141	MotB-like transcriptional regulator	transcription regulatory protein motb	UNRESOLVED_REVIEW_REQUIRED		MotB-like transcriptional regulator	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	7291	7650	-	exact	NP_049627.1	7291	7650	hypothetical protein	uncharacterized 13.8 kda protein in motb-dexa intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	7661	8161	-	exact	NP_049628.1	7661	8161	hypothetical protein	uncharacterized 19.7 kda protein in motb-dexa intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	8225	8908	-	exact	NP_049629.1	8225	8908	exonuclease	exodeoxyribonuclease	UNRESOLVED_REVIEW_REQUIRED		exonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	8908	9150	-	exact	NP_049630.1	8908	9150	DexA.1 hypothetical protein	uncharacterized protein dexa.1	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	9143	9388	-	exact	NP_049631.1	9143	9388	dextranase	uncharacterized 9.5 kda protein in dexa-dda intergenic region	ABSTENTION		hypothetical protein	ABSTENTION	
NC_000866.4	9410	10729	-	exact	NP_049632.1	9410	10729	Dda-like helicase	atp-dependent dna helicase dda	UNRESOLVED_REVIEW_REQUIRED		Dda-like helicase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	10726	11037	-	exact	NP_049633.1	10726	11037	Dda.1 hypothetical protein	uncharacterized 12.1 kda protein in dda-moda intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	11039	11785	-	exact	NP_049634.1	11039	11785	Srd anti-sigma factor	uncharacterized 29.0 kda protein in dda-moda intergenic region	ABSTENTION		Srd anti-sigma factor	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	11908	12510	-	exact	NP_049635.1	11908	12510	RNA polymerase ADP-ribosylase	nad--protein adp-ribosyltransferase moda	UNRESOLVED_REVIEW_REQUIRED		RNA polymerase ADP-ribosylase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	12507	13130	-	exact	NP_049636.1	12507	13130	RNA polymerase ADP-ribosylase	nad--protein adp-ribosyltransferase modb	UNRESOLVED_REVIEW_REQUIRED		RNA polymerase ADP-ribosylase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	13198	13380	-	exact	NP_049637.1	13198	13380	hypothetical protein	uncharacterized 7.0 kda protein in modb-mrh intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	13389	13859	-	exact	NP_049638.1	13389	13859	Mrh transcription modulator under heat shock	uncharacterized 18.3 kda protein in modb-mrh intergenic region	ABSTENTION		Mrh transcription modulator under heat shock	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	13852	14016	-	exact	NP_049639.1	13852	14016	ModA.4 hypothetical protein	uncharacterized 6.2 kda protein in modb-mrh intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	14191	14676	-	exact	NP_049641.1	14191	14676	Mrh transcription modulator under heat shock	rpoh-modulating protein	UNRESOLVED_REVIEW_REQUIRED		Mrh transcription modulator under heat shock	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	14685	15026	-	exact	NP_049642.1	14685	15026	Mrh.1 hypothetical protein	uncharacterized 12.6 kda protein in mrh-soc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	15026	15232	-	exact	NP_049643.1	15026	15232	Mrh.2 hypothetical protein	uncharacterized 8.3 kda protein in mrh-soc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	15331	15573	-	exact	NP_049644.1	15331	15573	virion structural protein	small outer capsid protein	UNRESOLVED_REVIEW_REQUIRED		virion structural protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	15606	16280	-	exact	NP_049645.1	15606	16280	SegF homing endonuclease	dna replication protein	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	16270	16785	-	exact	NP_049646.1	16270	16785	dUTPase	dctp pyrophosphatase	UNRESOLVED_REVIEW_REQUIRED		nucleoside triphosphate pyrophosphohydrolase	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	16846	17625	-	exact	NP_049647.1	16846	17625	Dam family site-specific DNA-(adenine-N6)-methyltransferase	dna adenine methylase	UNRESOLVED_REVIEW_REQUIRED		DNA methyltransferase	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	17935	18963	-	exact	NP_049648.1	17935	18963	DNA primase	dna primase	EXACT_PRODUCT_AGREEMENT		DNA primase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	18966	19130	-	exact	NP_049649.1	18966	19130	gp61.1 hypothetical protein	uncharacterized 5.9 kda protein in gp58-sp intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	19132	19758	-	exact	NP_049650.1	19132	19758	gp61.2 hypothetical protein	anti-dart factor a	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	19758	20051	-	exact	NP_049651.1	19758	20051	spackle periplasmic	protein spackle	UNRESOLVED_REVIEW_REQUIRED		spackle periplasmic	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	20112	20369	-	exact	NP_049652.1	20112	20369	gp61.4 hypothetical protein	uncharacterized 10.2 kda protein in sp-gp41 intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	20371	20553	-	exact	NP_049653.1	20371	20553	Dmd discriminator of mRNA degradation	antitoxin dmd	UNRESOLVED_REVIEW_REQUIRED		Dmd discriminator of mRNA degradation	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	20612	22039	-	exact	NP_049654.1	20612	22039	AAA family ATPase	dnab-like replicative helicase	UNRESOLVED_REVIEW_REQUIRED		DnaB-like replicative helicase	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	22049	22393	-	exact	NP_049655.1	22049	22393	head vertex assembly chaperone	head formation protein	UNRESOLVED_REVIEW_REQUIRED		head vertex assembly chaperone	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	22386	23561	-	exact	NP_049656.2	22386	23561	recombinase	recombination and repair protein	UNRESOLVED_REVIEW_REQUIRED		recombinase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	23570	24235	-	exact	NP_049657.1	23570	24235	homing endonuclease	endonuclease sega	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	24400	25455	-	exact	NP_049658.1	24400	25455	beta-glucosyltransferase	dna beta-glucosyltransferase	UNRESOLVED_REVIEW_REQUIRED		beta-glucosyltransferase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	25479	26219	-	exact	NP_049659.1	25479	26219	thymidylate synthase	deoxycytidylate 5-hydroxymethyltransferase	UNRESOLVED_REVIEW_REQUIRED		thymidylate synthase	EXACT_PRODUCT_AGREEMENT	
