adjudication_id	prediction_A_tool	prediction_B_tool
e30bd2338e4b6294	Pharokka	PhageMine
ee5525f2229ec072	PhageMine	Pharokka
032284f9204055b1	Pharokka	PhageMine
75d1b804406eb398	Pharokka	PhageMine
13d81df8e0e2a6b7	PhageMine	Pharokka
f2dcc88cb49b189c	PhageMine	Pharokka
2d2485f92c0fab32	Pharokka	PhageMine
2e89b6943123ae91	Pharokka	PhageMine
2d1e28ae275668d1	PhageMine	Pharokka
4cd2ead569a68f77	PhageMine	Pharokka
805650b126cf3056	PhageMine	Pharokka
b4a9ad42de0ec65c	Pharokka	PhageMine
4b83acbbe8db3b2b	PhageMine	Pharokka
e6007195c645a285	PhageMine	Pharokka
e80e26c584d64eb0	PhageMine	Pharokka
18bef89aec3fe14c	Pharokka	PhageMine
a68539eeb53e80d3	Pharokka	PhageMine
98664f3245134a48	PhageMine	Pharokka
0d807fd30fad7180	Pharokka	PhageMine
c6c53e7e24fc9dff	PhageMine	Pharokka
015aa99a7c5c4f55	Pharokka	PhageMine
add825fce30174ab	PhageMine	Pharokka
9d19fc53c60eb3ef	PhageMine	Pharokka
1524ee730b9a7330	Pharokka	PhageMine
ea4a68404acbe2a8	Pharokka	PhageMine
bd02c383b3a4f0a6	Pharokka	PhageMine
8cdd7dbfccc2cc15	Pharokka	PhageMine
fba589f5107bf3d0	PhageMine	Pharokka
688408c7858f3871	PhageMine	Pharokka
43ab4d69c5de97cf	PhageMine	Pharokka
7ff76a65c1413a4a	Pharokka	PhageMine
33389cd74214663c	Pharokka	PhageMine
f36860c9a1240aa3	Pharokka	PhageMine
7bc8d700f697205e	PhageMine	Pharokka
575d0910edcf63bb	Pharokka	PhageMine
0a852238000505a0	Pharokka	PhageMine
1f917b910bc70d51	PhageMine	Pharokka
c9bbcce9aef7ae74	PhageMine	Pharokka
d998659e57b2001e	Pharokka	PhageMine
09ffcc279149453f	Pharokka	PhageMine
8bbed1d6f914301a	PhageMine	Pharokka
35d357fda4dc58dc	PhageMine	Pharokka
4078de5f94c60ac1	Pharokka	PhageMine
666abbb7cf705102	Pharokka	PhageMine
b5b5542a1968b2b8	PhageMine	Pharokka
2464b7409fccde17	PhageMine	Pharokka
1662995d7d026399	Pharokka	PhageMine
8fd5efddb99649d6	Pharokka	PhageMine
a86e50a73f2ccc9e	PhageMine	Pharokka
78bc0b607dd3d07a	Pharokka	PhageMine
959bae1393c252c9	Pharokka	PhageMine
cd03f37df89701b8	PhageMine	Pharokka
78380d8154b5fb1b	PhageMine	Pharokka
d6cd5ff4ae03bd8d	Pharokka	PhageMine
5568f5f9219f3f11	PhageMine	Pharokka
758ba3f3f6add677	Pharokka	PhageMine
7c04d5108c062da8	Pharokka	PhageMine
aafb000401dccb4d	PhageMine	Pharokka
d438d9d3f0cb1f25	PhageMine	Pharokka
f1dd90a3d216f68a	PhageMine	Pharokka
17c0a0bca45ae27e	PhageMine	Pharokka
c0153a6b935cf91f	Pharokka	PhageMine
7fce063b74362176	PhageMine	Pharokka
2b6d7fa95443b27e	PhageMine	Pharokka
bbc3482e0415eea8	PhageMine	Pharokka
d51120b1a8c03e27	PhageMine	Pharokka
80a9e3fe57d21d03	Pharokka	PhageMine
c4c601fb68b256d1	PhageMine	Pharokka
c57b3420215a7bb2	PhageMine	Pharokka
cd36fa74b373ace2	PhageMine	Pharokka
5793a44bec9ce02b	Pharokka	PhageMine
bee6e4860255c921	Pharokka	PhageMine
e27e0cd30bd9584c	PhageMine	Pharokka
06e17bed8e0c50a5	PhageMine	Pharokka
665e4bfc9f63e31e	Pharokka	PhageMine
5b270e6697864e67	Pharokka	PhageMine
b5b26af2b67414ac	PhageMine	Pharokka
ac5a990c0cd4c651	Pharokka	PhageMine
d7604d44a41537f5	PhageMine	Pharokka
b9995e500b66f1ab	PhageMine	Pharokka
28969b18f68c8ab7	Pharokka	PhageMine
85c810a8ed11d1ea	Pharokka	PhageMine
7d89655a134bc619	PhageMine	Pharokka
c82336de1cc16105	PhageMine	Pharokka
ca7fc66a6295b366	Pharokka	PhageMine
dd34d27588680553	Pharokka	PhageMine
a6d010cc9cebeb80	Pharokka	PhageMine
d3e2e63fc9520f97	Pharokka	PhageMine
cbcbdc82e277d0c7	PhageMine	Pharokka
503e27b15aadd912	Pharokka	PhageMine
10b77539d1c87440	Pharokka	PhageMine
6f0ff303055ab419	Pharokka	PhageMine
130b109a8a5575af	Pharokka	PhageMine
7d74f9661d233b22	Pharokka	PhageMine
8ff64fa095c175e7	Pharokka	PhageMine
7756748fe87a57a5	PhageMine	Pharokka
058945b2175b59d3	PhageMine	Pharokka
2a3a61b073999f6c	PhageMine	Pharokka
70726b23527eda48	Pharokka	PhageMine
9a8af27f2530f2ac	PhageMine	Pharokka
82019efa566b81eb	PhageMine	Pharokka
f5ce0f1af089c2d2	Pharokka	PhageMine
a0463071c2c2c6b2	Pharokka	PhageMine
e1efd3e02a40b410	PhageMine	Pharokka
f43930491a81b39e	Pharokka	PhageMine
1013c3cb4ac4246c	PhageMine	Pharokka
eb5b7b8b4dca022a	Pharokka	PhageMine
741ab191732b0e02	Pharokka	PhageMine
df0756189dc488f1	Pharokka	PhageMine
87df67e7d19bfcdf	PhageMine	Pharokka
27c1bf0507e825f6	PhageMine	Pharokka
355c89e8ff6c112e	PhageMine	Pharokka
276e2e5ca20431d8	PhageMine	Pharokka
d884e21c9d2ba1ff	Pharokka	PhageMine
491bf0aeede95b80	PhageMine	Pharokka
caf6e39b51c12d93	Pharokka	PhageMine
ca84e906907acdbd	Pharokka	PhageMine
fa7a65b0003fe5a2	Pharokka	PhageMine
9ecfcae2e0da9d8a	PhageMine	Pharokka
47dc539b3cdcbb98	PhageMine	Pharokka
b399e279bc91eaec	PhageMine	Pharokka
7444931865f04f97	Pharokka	PhageMine
d837aa8c8610b60a	Pharokka	PhageMine
3bfc6a3f730de6cf	Pharokka	PhageMine
09fffe579cf797bb	Pharokka	PhageMine
b0634ed277dcba30	PhageMine	Pharokka
88cd192ff77b3c3f	Pharokka	PhageMine
297406e31caefd6e	PhageMine	Pharokka
a4011111e402dddc	PhageMine	Pharokka
37a359a06b6b3f7f	PhageMine	Pharokka
d1afeb7fafb1e8a0	PhageMine	Pharokka
2616198b66d0b684	Pharokka	PhageMine
820ff10ce504132f	PhageMine	Pharokka
2b92ccba1ff7ff28	Pharokka	PhageMine
afd57b86f7af6c67	Pharokka	PhageMine
e2150ba56094727c	PhageMine	Pharokka
7fd99f87d9d5bfb1	Pharokka	PhageMine
ca9ed4ad385ddcc7	Pharokka	PhageMine
da34c94aed5e4dcd	PhageMine	Pharokka
3462634583b5cbe6	Pharokka	PhageMine
bf89531663e38d1f	Pharokka	PhageMine
b081f23aa20bbfbc	PhageMine	Pharokka
7cbae52f2f569bd3	PhageMine	Pharokka
30dbb381a55a7164	PhageMine	Pharokka
9a03d4275249d803	PhageMine	Pharokka
780c276dc4b049ce	Pharokka	PhageMine
bd2dee31c66cf921	PhageMine	Pharokka
a5ce6567a5d22319	PhageMine	Pharokka
fa65b56be04e4408	Pharokka	PhageMine
86062b8c81222630	Pharokka	PhageMine
eda6c044d5cc02a4	Pharokka	PhageMine
0927b608c096c50a	Pharokka	PhageMine
073c06460b5997a8	Pharokka	PhageMine
2784e89a793e21ac	PhageMine	Pharokka
a0261af9c818ecb0	PhageMine	Pharokka
9869b6552f6f6c32	Pharokka	PhageMine
e81fa81a809eb093	PhageMine	Pharokka
6c770fea09576b17	Pharokka	PhageMine
a3fa71500ae9e61b	PhageMine	Pharokka
b2e132bf75bf76f6	PhageMine	Pharokka
906212c0d6c4e5db	PhageMine	Pharokka
96dbdcc062c95883	PhageMine	Pharokka
da5cd49df42e2855	Pharokka	PhageMine
ace735b74a188e03	Pharokka	PhageMine
41b5f587a1e82af9	PhageMine	Pharokka
5d465bc40ac8cd2d	PhageMine	Pharokka
8ada1513e4544f53	Pharokka	PhageMine
be0b0be64e6a88c5	Pharokka	PhageMine
5cc76c32545c8da1	Pharokka	PhageMine
ef6e71c70bd88968	PhageMine	Pharokka
7e5b7fc37d3fae76	PhageMine	Pharokka
2b4fd6af3c46b353	PhageMine	Pharokka
7f6727251878cfce	PhageMine	Pharokka
cea837b548d97a3a	Pharokka	PhageMine
c8a9a7136676f014	Pharokka	PhageMine
8a8123fe0dabc0ab	Pharokka	PhageMine
458f5d8a9922e55e	PhageMine	Pharokka
5241862e86c143a2	Pharokka	PhageMine
b711e41dc58ae1b7	Pharokka	PhageMine
a7e3183fb6149ca3	Pharokka	PhageMine
ba9b5cd53fc0e6e7	PhageMine	Pharokka
f12f9ce21af9e9a2	PhageMine	Pharokka
60efd1e630f56a94	PhageMine	Pharokka
6e57aabe8bfffa96	PhageMine	Pharokka
1c9c6502afc4036c	PhageMine	Pharokka
c79b23c17c7ac234	PhageMine	Pharokka
6b78a4600261396a	PhageMine	Pharokka
