accession	start	end	strand	locus_id	product	other_product	reference_product	category
NC_000866.4	2458	2751	-	PHAR_NC_000866_4_CDS_0003	DNA topoisomerase II	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	5702	5839	-	PHAR_NC_000866_4_CDS_0010	FmdB-like transcriptional regulator	uncharacterized 5.1 kda protein in gp39-comca intergenic region	FmdB-like transcriptional regulator	EXACT_PRODUCT_AGREEMENT
NC_000866.4	11039	11785	-	PHAR_NC_000866_4_CDS_0023	Srd anti-sigma factor	uncharacterized 29.0 kda protein in dda-moda intergenic region	Srd anti-sigma factor	EXACT_PRODUCT_AGREEMENT
NC_000866.4	13389	13859	-	PHAR_NC_000866_4_CDS_0027	Mrh transcription modulator under heat shock	uncharacterized 18.3 kda protein in modb-mrh intergenic region	Mrh transcription modulator under heat shock	EXACT_PRODUCT_AGREEMENT
NC_000866.4	14013	14198	-	PHAR_NC_000866_4_CDS_0029	decoy of host sigma32	uncharacterized 8.1 kda protein in modb-mrh intergenic region	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	41805	42113	-	PHAR_NC_000866_4_CDS_0082	thioredoxin domain	uncharacterized 11.8 kda protein in gp55-nrdg intergenic region	NrdH glutaredoxin	UNRESOLVED_REVIEW_REQUIRED
NC_000866.4	43535	44728	-	PHAR_NC_000866_4_CDS_0087	anaerobic ribonucleoside reductase large subunit	conserved phage protein of unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	47506	47826	-	PHAR_NC_000866_4_CDS_0094	ribonucleotide reductase	uncharacterized 12.6 kda protein in pin-nrdc intergenic region	ribonucleotide reductase	EXACT_PRODUCT_AGREEMENT
NC_000866.4	55435	56469	-	PHAR_NC_000866_4_CDS_0108	nucleotidyltransferase	uncharacterized 38.9 kda protein in nrdc-mobd intergenic region	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	58819	59205	-	PHAR_NC_000866_4_CDS_0116	starvation-inducible transcriptional regulator	uncharacterized 14.6 kda protein in mobd-ri intergenic region	starvation-inducible transcriptional regulator	EXACT_PRODUCT_AGREEMENT
