accession	phanotate_primary_cds	phagemine_final_cds	selection_records	selected_records	invariant_holds
OQ357866.1	250	NOT_AVAILABLE	243	243	NOT_AVAILABLE
OQ357868.1	112	NOT_AVAILABLE	106	106	NOT_AVAILABLE
OQ357869.1	288	NOT_AVAILABLE	286	286	NOT_AVAILABLE
OQ357870.1	199	NOT_AVAILABLE	193	193	NOT_AVAILABLE
PQ211117.1	60	NOT_AVAILABLE	60	60	NOT_AVAILABLE
PX093955.1	94	NOT_AVAILABLE	93	93	NOT_AVAILABLE
PX093956.1	89	NOT_AVAILABLE	89	89	NOT_AVAILABLE
PX093957.1	97	NOT_AVAILABLE	92	92	NOT_AVAILABLE
PX093958.1	94	NOT_AVAILABLE	89	89	NOT_AVAILABLE
PX311095.1	146	NOT_AVAILABLE	144	144	NOT_AVAILABLE
PX311096.1	286	NOT_AVAILABLE	280	280	NOT_AVAILABLE
PX311097.1	201	NOT_AVAILABLE	195	193	NOT_AVAILABLE
PX392307.1	80	NOT_AVAILABLE	80	80	NOT_AVAILABLE
PX402466.1	150	NOT_AVAILABLE	147	147	NOT_AVAILABLE
PX402467.1	78	NOT_AVAILABLE	77	77	NOT_AVAILABLE
PX402468.1	154	NOT_AVAILABLE	149	149	NOT_AVAILABLE
PX404940.1	62	NOT_AVAILABLE	61	61	NOT_AVAILABLE
PX427708.1	79	NOT_AVAILABLE	78	78	NOT_AVAILABLE
PX985120.1	86	NOT_AVAILABLE	85	85	NOT_AVAILABLE
PX985121.1	90	NOT_AVAILABLE	88	88	NOT_AVAILABLE
