case_id	prediction_A_tool	prediction_B_tool	target_tool	key_classification
FB0001	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0002	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0003	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0004	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0005	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0006	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0007	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0008	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0009	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0010	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0011	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0012	PhageMine	Pharokka	Pharokka	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0013	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0014	Pharokka	PhageMine	Pharokka	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0015	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0016	PhageMine	Pharokka	Pharokka	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0017	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0018	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0019	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0020	Pharokka	PhageMine	Pharokka	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0021	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0022	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0023	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0024	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0025	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0026	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0027	Pharokka	PhageMine	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
FB0028	PhageMine	Pharokka	PhageMine	CONFIDENTIAL_NOT_FOR_REVIEWER
