accession	start	end	strand	locus_id	product	other_product	reference_product	category
NC_000866.4	5842	6267	-	PM_000011	protein comc-alpha	unknown function	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_000866.4	7218	7307	-	PM_000015	motb-like transcriptional regulator	unknown function	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	19132	19758	-	PM_000042	anti-dart factor a	hypothetical protein	gp61.2 hypothetical protein	NON_EVALUABLE_REFERENCE
NC_000866.4	33058	33246	-	PM_000063	protein gp45.2	hypothetical protein	protein GP45.2	EXACT_PRODUCT_AGREEMENT
NC_000866.4	63078	63344	-	PM_000128	anti-cbass protein 2	hypothetical protein	Vs.4 conserved hypothetical protein	NON_EVALUABLE_REFERENCE
NC_000866.4	63557	63919	-	PM_000130	autonomous glycyl radical cofactor	hypothetical protein	autonomous glycyl radical cofactor GrcA	UNRESOLVED_REVIEW_REQUIRED
NC_000866.4	66503	66997	-	PM_000136	endolysin	hypothetical protein	glycoside hydrolase family protein	UNRESOLVED_REVIEW_REQUIRED
NC_000866.4	67472	67570	-	PM_000138	membrane protein	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_000866.4	128307	128765	-	PM_000217	anti-dart factor nadar	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001416.1	6135	7160	+	PM_000008	major capsid protein	hypothetical protein	major capsid protein	EXACT_PRODUCT_AGREEMENT
NC_001416.1	7977	8555	+	PM_000011	tail completion protein z	hypothetical protein	tail protein	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	9711	10133	+	PM_000014	tail assembly protein g	hypothetical protein	minor tail protein G	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	14276	14875	+	PM_000020	tail tip assembly protein k	hypothetical protein	C40 family peptidase	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	14773	15444	+	PM_000021	tail tip assembly protein i	hypothetical protein	tail assembly protein	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	22686	23918	-	PM_000028	protein ea47	hypothetical protein	ea47	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	25396	26973	-	PM_000032	protein ea59	hypothetical protein	AAA family ATPase	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	29374	29655	-	PM_000040	protein ea8.5	hypothetical protein	ea8.5	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	29847	30347	-	PM_000041	protein ea22	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001416.1	33536	33904	-	PM_000051	protein ea10	unknown function	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001416.1	37227	37940	-	PM_000062	helix-turn-helix transcriptional regulator	hypothetical protein	LexA family transcriptional regulator	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	39582	40283	+	PM_000067	helicase loader	hypothetical protein	DNA replication protein	UNRESOLVED_REVIEW_REQUIRED
NC_001416.1	42227	42439	+	PM_000072	protein ninf	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001416.1	43152	43889	+	PM_000074	serine/threonine-protein phosphatase	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001604.1	1278	1433	+	PM_000006	gene 0.4 protein	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	1430	1639	+	PM_000007	protein 0.5	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001604.1	1639	1797	+	PM_000008	protein 0.6b	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001604.1	1781	1972	+	PM_000009	protein 0.6b	hypothetical protein	NA	NO_EXACT_REFERENCE_MATCH
NC_001604.1	7608	7763	+	PM_000015	protein 1.4	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	7906	8166	+	PM_000017	protein 1.6	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	8749	8895	+	PM_000019	protein 1.8	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	13352	13564	+	PM_000027	protein 4.3	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
NC_001604.1	13584	13853	+	PM_000028	inhibitor of toxin/antitoxin system	hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE
