matching_mode	accession	start	end	strand	status	candidate_reference_ids
exact	NC_000866.4	12	2189	-	MATCHED	
exact	NC_000866.4	2200	2403	-	MATCHED	
exact	NC_000866.4	2458	2751	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	2850	2954	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	2971	3351	-	MATCHED	
exact	NC_000866.4	3457	3549	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	3654	3767	-	MATCHED	
exact	NC_000866.4	3778	5328	-	MATCHED	
exact	NC_000866.4	5398	5595	-	MATCHED	
exact	NC_000866.4	5702	5839	-	MATCHED	
exact	NC_000866.4	5842	6267	-	MATCHED	
exact	NC_000866.4	6267	6482	-	MATCHED	
exact	NC_000866.4	6500	6589	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	6653	7141	-	MATCHED	
exact	NC_000866.4	7218	7307	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	7291	7650	-	MATCHED	
exact	NC_000866.4	7661	8161	-	MATCHED	
exact	NC_000866.4	8225	8908	-	MATCHED	
exact	NC_000866.4	8908	9150	-	MATCHED	
exact	NC_000866.4	9143	9388	-	MATCHED	
exact	NC_000866.4	9410	10729	-	MATCHED	
exact	NC_000866.4	10726	11037	-	MATCHED	
exact	NC_000866.4	11039	11785	-	MATCHED	
exact	NC_000866.4	11908	12510	-	MATCHED	
exact	NC_000866.4	12507	13130	-	MATCHED	
exact	NC_000866.4	13198	13380	-	MATCHED	
exact	NC_000866.4	13389	13859	-	MATCHED	
exact	NC_000866.4	13852	14016	-	MATCHED	
exact	NC_000866.4	14013	14198	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	14191	14676	-	MATCHED	
exact	NC_000866.4	14685	15026	-	MATCHED	
exact	NC_000866.4	15026	15232	-	MATCHED	
exact	NC_000866.4	15260	15349	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	15331	15573	-	MATCHED	
exact	NC_000866.4	15606	16280	-	MATCHED	
exact	NC_000866.4	16270	16785	-	MATCHED	
exact	NC_000866.4	16846	17625	-	MATCHED	
exact	NC_000866.4	17653	17766	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	17738	17938	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	17935	18963	-	MATCHED	
exact	NC_000866.4	18966	19130	-	MATCHED	
exact	NC_000866.4	19132	19758	-	MATCHED	
exact	NC_000866.4	19758	20051	-	MATCHED	
exact	NC_000866.4	20112	20369	-	MATCHED	
exact	NC_000866.4	20371	20553	-	MATCHED	
exact	NC_000866.4	20612	22039	-	MATCHED	
exact	NC_000866.4	22049	22393	-	MATCHED	
exact	NC_000866.4	22386	23561	-	MATCHED	
exact	NC_000866.4	23570	24235	-	MATCHED	
exact	NC_000866.4	24279	24410	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	24400	25455	-	MATCHED	
exact	NC_000866.4	25479	26219	-	MATCHED	
exact	NC_000866.4	26227	26376	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	26373	26624	-	MATCHED	
exact	NC_000866.4	26636	27013	-	MATCHED	
exact	NC_000866.4	27010	27126	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	27197	29893	-	MATCHED	
exact	NC_000866.4	29972	30340	-	MATCHED	
exact	NC_000866.4	30342	30905	-	MATCHED	
exact	NC_000866.4	30907	31866	-	MATCHED	
exact	NC_000866.4	31917	32603	-	MATCHED	
exact	NC_000866.4	32659	33048	-	MATCHED	
exact	NC_000866.4	33058	33246	-	MATCHED	
exact	NC_000866.4	33302	34942	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	34981	35196	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	35168	35431	-	MATCHED	
exact	NC_000866.4	35428	36447	-	MATCHED	
exact	NC_000866.4	36444	36584	-	MATCHED	
exact	NC_000866.4	36624	37826	-	MATCHED	
exact	NC_000866.4	37885	38679	-	MATCHED	
exact	NC_000866.4	38731	38922	-	MATCHED	
exact	NC_000866.4	38907	39110	-	MATCHED	
exact	NC_000866.4	39079	39396	-	MATCHED	
exact	NC_000866.4	39398	39616	-	MATCHED	
exact	NC_000866.4	39600	40157	-	MATCHED	
exact	NC_000866.4	40193	40456	-	MATCHED	
exact	NC_000866.4	40459	40785	-	MATCHED	
exact	NC_000866.4	40799	41038	-	MATCHED	
exact	NC_000866.4	41039	41170	-	MATCHED	
exact	NC_000866.4	41178	41471	-	MATCHED	
exact	NC_000866.4	41464	41646	-	MATCHED	
exact	NC_000866.4	41805	42113	-	MATCHED	
exact	NC_000866.4	42116	42328	-	MATCHED	
exact	NC_000866.4	42370	42468	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	42446	42916	-	MATCHED	
exact	NC_000866.4	42906	43538	-	MATCHED	
exact	NC_000866.4	43535	44728	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	44836	45612	-	MATCHED	
exact	NC_000866.4	45575	45694	+	NO_REFERENCE_MATCH	
exact	NC_000866.4	45840	46385	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	46382	46855	-	MATCHED	
exact	NC_000866.4	46897	47382	-	MATCHED	
exact	NC_000866.4	47366	47521	-	MATCHED	
exact	NC_000866.4	47506	47826	-	MATCHED	
exact	NC_000866.4	47823	48131	-	MATCHED	
exact	NC_000866.4	48128	48391	-	MATCHED	
exact	NC_000866.4	48393	48635	-	MATCHED	
exact	NC_000866.4	48622	48936	-	MATCHED	
exact	NC_000866.4	48933	49859	-	MATCHED	
exact	NC_000866.4	49914	50915	-	MATCHED	
exact	NC_000866.4	50973	51995	-	MATCHED	
exact	NC_000866.4	52066	52893	-	MATCHED	
exact	NC_000866.4	52901	53302	-	MATCHED	
exact	NC_000866.4	53358	53885	-	MATCHED	
exact	NC_000866.4	53946	54248	-	MATCHED	
exact	NC_000866.4	54343	55320	-	MATCHED	
exact	NC_000866.4	55340	55438	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	55435	56469	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	56429	57208	-	MATCHED	
exact	NC_000866.4	57283	57828	-	MATCHED	
exact	NC_000866.4	57892	57993	-	NO_REFERENCE_MATCH	
exact	NC_000866.4	58049	58165	-	MATCHED	
exact	NC_000866.4	58155	58349	-	MATCHED	
exact	NC_000866.4	58352	58534	-	MATCHED	
exact	NC_000866.4	58534	58722	-	MATCHED	
exact	NC_000866.4	58819	59205	-	MATCHED	
exact	NC_000866.4	59202	59495	-	MATCHED	
exact	NC_000866.4	59508	59720	-	MATCHED	
exact	NC_000866.4	59763	60344	-	MATCHED	
exact	NC_000866.4	60346	60534	-	MATCHED	
exact	NC_000866.4	60531	60722	-	NO_REFERENCE_MATCH	
